x,y
6,223.61
8,224.19
7,224.73
5,224.63
8,224.4
4,224.58
6,224.61
8,224.59
7,225.16
5,225.05
7,225.04
7,224.77
5,223.96
21,223.6
6,223.64
17,223.97
11,224.51
12,224.51
5,224.25
11,224.11
9,224.17
6,224.22
3,223.86
10,223.82
2,223.68
11,223.94
1,224.1
5,224.18
25,224.26
6,224.66
7,224.78
9,224.79
10,224.94
4,224.8
8,224.74
11,224.82
13,224.75
8,224.63
4,224.59
17,224.57
5,224.44
6,224.19
10,224.15
15,224.07
13,223.86
8,223.92
16,223.89
13,223.8
5,223.86
10,223.88
4,223.78
4,223.77
7,223.67
10,223.23
9,222.98
13,223.31
5,223.24
2,223.08
7,223.12
8,223.08
14,223.16
7,223.15
8,223.25
10,223.09
4,223.29
6,223.35
10,223.26
3,223.44
11,223.64
2,223.62
7,223.4
5,223.22
8,223.26
7,223.49
10,223.72
9,223.48
8,223.61
11,223.75
8,223.81
7,223.83
6,223.87
9,224.05
3,224.04
12,224.11
9,224
8,223.96
5,223.97
7,224.08
13,224.39
7,224.37
9,223.96
4,223.74
7,223.37
7,223.31
9,223.26
4,223.25
3,223.33
5,223.23
11,223.23
14,223.25
3,223.33
5,223.44
7,223.48
14,223.56
19,223.42
8,223.45
4,223.34
2,223.29
4,223.08
9,222.79
7,222.61
2,222.33
5,222.45
4,222.39
4,222.36
7,222.27
3,222.34
2,222.46
14,222.33
8,222.25
9,222.21
7,222.13
7,222.17
8,222.2
4,222.31
6,222.31
2,222.32
6,222.39
9,222.59
10,222.75
2,222.58
11,222.47
6,222.68
7,222.7
21,222.67
10,222.55
4,222.55
1,222.74
5,222.78
10,222.96
6,222.99
6,222.92
4,222.8
8,222.62
4,222.54
4,222.43
4,222.21
4,222.19
12,222.21
18,222.23
11,222.2
7,222.3
5,222.28
14,222.4
7,222.33
2,222.39
15,222.51
13,222.59
5,222.46
3,222.58
4,222.64
8,222.66
3,222.64
1,222.73
26,222.66
4,222.63
2,222.6
6,222.42
6,222.26
3,222.17
9,222.18
5,222.21
42,222.13
10,222.17
4,222.21
3,222.22
5,222.32
4,222.36
9,222.21
31,222.06
10,221.84
10,221.61
5,221.84
10,222.16
5,222.19
8,222.14
10,221.99
5,221.99
5,221.98
5,221.96
4,221.8
7,221.8
7,221.71
5,221.68
5,221.71
7,221.76
8,222.03
6,222.03
7,222.17
6,222.09
12,222
1,221.99
4,221.77
8,221.97
10,222.04
36,221.94
7,221.99
3,221.83
7,221.72
4,221.69
5,221.62
8,221.55
4,221.42
5,221.47
4,221.51
5,221.56
11,221.51
6,221.37
5,221.26
6,221.22
7,221.11
2,221.04
6,221
5,220.91
13,220.86
21,220.81
2,220.99
4,221.18
15,221.13
3,221.17
4,221.1
5,221.2
7,221.35
12,221.45
9,221.55
6,221.65
2,221.72
12,221.83
12,221.81
12,221.82
7,221.75
4,221.73
6,221.9
7,222.02
9,222.08
16,221.99
9,222.03
15,222.11
8,222.04
16,222.1
12,222.09
6,222.17
13,222.37
7,222.32
8,222.2
5,222.27
6,222.31
8,222.5
6,222.46
4,222.46
10,222.48
9,222.52
3,222.62
4,222.64
5,222.49
8,222.4
14,222.39
10,222.46
4,222.41
13,222.37
11,222.74
11,222.71
11,222.62
13,222.22
7,221.94
6,222
6,222.06
9,222.26
4,222.29
6,222.23
7,221.94
8,221.81
10,221.7
7,221.76
14,221.77
12,221.65
10,221.65
6,221.54
9,221.35
8,221.28
17,221.38
7,221.46
9,221.3
15,221.11
11,221.09
11,221.09
10,221.09
14,220.87
10,220.44
24,220.43
21,220.28
13,220.15
8,220.12
7,220.23
5,220.45
9,220.69
4,220.52
5,220.42
9,220.44
7,220.17
14,220.33
15,220.43
6,220.26
7,220.24
20,220.24
3,220.04
2,219.88
6,219.89
5,219.9
4,219.65
8,219.85
9,219.72
5,219.81
5,219.81
7,219.7
5,219.72
6,219.37
9,219.39
8,219.42
24,219.14
11,218.83
5,219.04
1,219.02
4,219.15
6,219.24
3,219.35
3,219.32
6,219.33
6,219.34
4,219.29
4,219.21
9,219.11
1,219.07
